F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	TotalMarkers	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICMX 2010786:6	ICMR 19777	100.0	ICMR 1804	95.42	30	16	4	2	0	10	25.0	failedF1
ICMX 2010786:7	ICMR 19777	100.0	ICMR 1804	95.42	30	16	0	6	0	10	0.0	failedF1
ICMX 2010787:5	ICMR 102387	100.0	ICMR 102623	100.0	30	16	4	1	1	10	25.0	failedF1
ICMX 2010787:1	ICMR 102387	100.0	ICMR 102623	100.0	30	16	5	1	0	10	31.25	failedF1
ICMX 2010787:2	ICMR 102387	100.0	ICMR 102623	100.0	30	16	5	1	0	10	31.25	failedF1
ICMX 2010787:3	ICMR 102387	100.0	ICMR 102623	100.0	30	16	5	1	0	10	31.25	failedF1
ICMX 2010787:4	ICMR 102387	100.0	ICMR 102623	100.0	30	16	5	1	0	10	31.25	failedF1
ICMX 2010788:8	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:1	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:2	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:3	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:4	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:5	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010788:6	ICMR 100437	100.0	ICMR 102623	100.0	30	13	5	0	0	8	38.46	failedF1
ICMX 2010788:7	ICMR 100437	100.0	ICMR 102623	100.0	30	13	0	5	0	8	0.0	failedF1
ICMX 2010789:1	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:2	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:3	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:4	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:5	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:6	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:7	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:8	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:9	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:10	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010789:11	ICMR 15666	100.0	ICMR 102623	100.0	30	11	0	5	0	6	0.0	failedF1
ICMX 2010789:12	ICMR 15666	100.0	ICMR 102623	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010790:7	ICMR 102387	100.0	ICMR 102622	100.0	30	15	3	0	1	11	20.0	failedF1
ICMX 2010790:1	ICMR 102387	100.0	ICMR 102622	100.0	30	15	3	1	1	10	20.0	failedF1
ICMX 2010790:2	ICMR 102387	100.0	ICMR 102622	100.0	30	15	4	1	0	10	26.67	failedF1
ICMX 2010790:3	ICMR 102387	100.0	ICMR 102622	100.0	30	15	3	2	0	10	20.0	failedF1
ICMX 2010790:4	ICMR 102387	100.0	ICMR 102622	100.0	30	15	4	1	0	10	26.67	failedF1
ICMX 2010790:5	ICMR 102387	100.0	ICMR 102622	100.0	30	15	0	3	0	12	0.0	failedF1
ICMX 2010790:6	ICMR 102387	100.0	ICMR 102622	100.0	30	15	4	1	0	10	26.67	failedF1
ICMX 2010791:9	ICMR 100437	100.0	ICMR 102622	100.0	30	14	4	0	0	10	28.57	failedF1
ICMX 2010791:10	ICMR 100437	100.0	ICMR 102622	100.0	30	14	4	0	0	10	28.57	failedF1
ICMX 2010791:1	ICMR 100437	100.0	ICMR 102622	100.0	30	14	3	1	0	10	21.43	failedF1
ICMX 2010791:2	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:3	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:4	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:5	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:6	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:7	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010791:8	ICMR 100437	100.0	ICMR 102622	100.0	30	14	0	4	0	10	0.0	failedF1
ICMX 2010792:9	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	1	na	5	24	16.67	failedF1
ICMX 2010792:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:4	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:5	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:6	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010792:7	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010792:8	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102622	100.0	30	na	2	na	8	20	20.0	failedF1
ICMX 2010793:10	ICMR 19777	100.0	ICMR 102622	100.0	30	11	0	0	0	11	0.0	failedF1
ICMX 2010793:11	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:1	ICMR 19777	100.0	ICMR 102622	100.0	30	11	5	0	0	6	45.45	failedF1
ICMX 2010793:2	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:3	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:4	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:5	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:6	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:7	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:8	ICMR 19777	100.0	ICMR 102622	100.0	30	11	4	1	0	6	36.36	failedF1
ICMX 2010793:9	ICMR 19777	100.0	ICMR 102622	100.0	30	11	2	1	0	8	18.18	failedF1
ICMX 2010794:9	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:1	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:2	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:3	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:4	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:5	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:6	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:7	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010794:8	ICMR 100487	100.0	ICMR 102621	76.67	30	11	3	1	0	7	27.27	failedF1
ICMX 2010795:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102624	99.17	30	na	0	na	3	23	0.0	failedF1
ICMX 2010795:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102624	99.17	30	na	4	na	6	20	40.0	failedF1
ICMX 2010795:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102624	99.17	30	na	2	na	5	23	28.57	failedF1
