SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010805:9	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010805:10	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010805:11	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010806:10	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:11	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:12	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:1	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:13	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:2	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:14	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:3	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:15	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:4	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:5	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:6	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:7	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:8	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010806:9	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010807:1	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:2	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:3	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:4	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:5	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:6	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:7	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:8	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:9	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:10	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:11	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:12	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010807:13	ICMX 2010807	ICMB 101955	ICMB 101797	
ICMX 2010808:4	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:5	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:6	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:7	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:8	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:9	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:10	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:11	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:12	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:1	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:2	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010808:3	ICMX 2010808	ICMB 101956	ICMB 101793	
ICMX 2010809:3	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:4	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:5	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:6	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:7	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:8	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:9	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:10	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:11	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:12	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:1	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010809:2	ICMX 2010809	ICMB 101665	ICMB 101797	
ICMX 2010810:2	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:3	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:4	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:5	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:6	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:7	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:8	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:9	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:10	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:11	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:12	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010810:1	ICMX 2010810	ICMB 101832	ICMB 101797	
ICMX 2010811:1	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:2	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:3	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:4	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:5	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:6	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:7	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:8	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:9	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:10	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:11	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010811:12	ICMX 2010811	ICMB 101900	ICMB 101792	
ICMX 2010812:1	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:2	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:3	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:4	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:5	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:6	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:7	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010812:8	ICMX 2010812	ICMB 101832	ICMB 101792	
ICMX 2010813:4	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010813:5	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010813:6	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010813:1	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010813:2	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010813:3	ICMX 2010813	ICMB 101779	ICMB 101771	
ICMX 2010814:10	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:11	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:12	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:1	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:13	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:2	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:14	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:3	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:4	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:5	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:6	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:7	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:8	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010814:9	ICMX 2010814	ICMB 101797	ICMB 101793	
ICMX 2010815:1	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:2	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:3	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:4	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:5	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:6	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:7	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:8	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010815:9	ICMX 2010815	ICMB 101793	ICMB 101792	
ICMX 2010816:1	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:2	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:3	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:4	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:5	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:6	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010816:7	ICMX 2010816	ICMB 101797	ICMB 101795	
ICMX 2010817:12	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:1	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:13	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:2	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:14	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:3	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:15	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:4	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:5	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:6	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:7	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:8	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:9	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:10	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010817:11	ICMX 2010817	ICMB 17555	ICMB 101881	
ICMX 2010818:9	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:10	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:11	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:12	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:1	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:13	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:2	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:14	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:3	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:4	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:5	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:6	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:7	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010818:8	ICMX 2010818	ICMB 10111	ICMB 101881	
ICMX 2010819:7	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:8	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:9	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:10	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:11	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:1	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:2	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:3	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:4	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:5	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010819:6	ICMX 2010819	ICMB 08666	ICMB 101881	
ICMX 2010820:8	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:9	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:10	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:11	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:12	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:1	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:2	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:3	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:4	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:5	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:6	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010820:7	ICMX 2010820	ICMB 18444	ICMB 101867	
ICMX 2010821:7	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:8	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:9	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:10	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:1	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:2	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:3	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:4	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:5	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010821:6	ICMX 2010821	ICMB 101378	ICMB 101960	
ICMX 2010822:8	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:9	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:10	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:11	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:12	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:1	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:13	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:2	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:3	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:4	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:5	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:6	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010822:7	ICMX 2010822	ICMB 101378	ICMB 100136	
ICMX 2010823:1	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:2	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:3	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:4	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:5	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:6	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:7	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:8	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:9	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:10	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:11	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010823:12	ICMX 2010823	ICMB 101961	ICMB 101117	
ICMX 2010824:2	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:3	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:4	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:5	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:6	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:7	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:8	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:9	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:10	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010824:1	ICMX 2010824	ICMB 101950	ICMB 101117	
ICMX 2010825:2	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:3	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:4	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:5	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:6	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:7	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:8	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:9	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:10	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:11	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010825:1	ICMX 2010825	ICMB 101954	ICMB 101117	
ICMX 2010826:1	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:13	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:2	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:3	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:4	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:5	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:6	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:7	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:8	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:9	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:10	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:11	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010826:12	ICMX 2010826	ICMB 101952	ICMB 101117	
ICMX 2010827:11	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:12	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:1	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:13	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:2	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:14	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:3	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:15	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:4	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:5	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:6	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:7	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:8	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:9	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010827:10	ICMX 2010827	ICMB 101644	ICMB 101117	
ICMX 2010828:8	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:9	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:10	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:11	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:12	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:1	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:2	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:3	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:4	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:5	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:6	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010828:7	ICMX 2010828	ICMB 101952	ICMB 101780	
ICMX 2010799:4-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:6-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:7-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:5-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:4-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:9-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:5-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:7-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:8-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:6-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:5-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:10-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:6-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:8-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:9-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:7-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:6-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:11-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:7-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:9-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:10-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:8-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:7-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:12-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:8-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:10-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:11-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:9-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:8-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:13-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:9-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:11-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:12-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:10-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010805:1-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010805:14-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:10-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:12-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:13-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:11-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010805:2-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010806:1-1	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010799:11-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010801:1-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010801:14-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:12-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010805:3-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010806:2-1	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010800:1-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:3-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:1-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010802:13-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010805:4-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010806:3-1	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010799:1-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:2-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:4-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:2-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:1-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:5-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010806:4-1	ICMX 2010806	ICMB 101961	ICMB 101797	
ICMX 2010799:2-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:3-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:5-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:3-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:2-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:6-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMX 2010799:3-1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:4-1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:6-1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010802:4-1	ICMX 2010802	ICMB 101963	ICMB 101771	
ICMX 2010803:3-1	ICMX 2010803	ICMB 101600	ICMB 101771	
ICMX 2010805:8-1	ICMX 2010805	ICMB 101959	ICMB 101793	
ICMB 101959:1	ICMB 101959			
ICMB 101959:2	ICMB 101959			
ICMB 101959:3	ICMB 101959			
ICMB 101959:4	ICMB 101959			
ICMB 101959:5	ICMB 101959			
ICMB 101959:6	ICMB 101959			
ICMB 101959:7	ICMB 101959			
ICMB 101959:8	ICMB 101959			
ICMB 101961:1	ICMB 101961			
ICMB 101961:2	ICMB 101961			
ICMB 101961:3	ICMB 101961			
ICMB 101961:4	ICMB 101961			
ICMB 101961:5	ICMB 101961			
ICMB 101961:6	ICMB 101961			
ICMB 101961:7	ICMB 101961			
ICMB 101961:8	ICMB 101961			
ICMB 101955:1	ICMB 101955			
ICMB 101955:2	ICMB 101955			
ICMB 101955:3	ICMB 101955			
ICMB 101955:4	ICMB 101955			
ICMB 101955:5	ICMB 101955			
ICMB 101955:6	ICMB 101955			
ICMB 101955:7	ICMB 101955			
ICMB 101955:8	ICMB 101955			
ICMB 101639:1	ICMB 101639			
ICMB 101639:2	ICMB 101639			
ICMB 101639:3	ICMB 101639			
ICMB 101639:4	ICMB 101639			
ICMB 101639:5	ICMB 101639			
ICMB 101639:6	ICMB 101639			
ICMB 101639:7	ICMB 101639			
ICMB 101639:8	ICMB 101639			
ICMB 101956:1	ICMB 101956			
ICMB 101956:2	ICMB 101956			
ICMB 101956:3	ICMB 101956			
ICMB 101956:4	ICMB 101956			
ICMB 101956:5	ICMB 101956			
ICMB 101956:6	ICMB 101956			
ICMB 101956:7	ICMB 101956			
ICMB 101956:8	ICMB 101956			
ICMB 101661:1	ICMB 101661			
ICMB 101661:2	ICMB 101661			
ICMB 101661:3	ICMB 101661			
ICMB 101661:4	ICMB 101661			
ICMB 101661:5	ICMB 101661			
ICMB 101661:6	ICMB 101661			
ICMB 101661:7	ICMB 101661			
ICMB 101661:8	ICMB 101661			
ICMB 101665:1	ICMB 101665			
ICMB 101665:2	ICMB 101665			
ICMB 101665:3	ICMB 101665			
ICMB 101665:4	ICMB 101665			
ICMB 101665:5	ICMB 101665			
ICMB 101665:6	ICMB 101665			
ICMB 101665:7	ICMB 101665			
ICMB 101665:8	ICMB 101665			
ICMB 101962:1	ICMB 101962			
