SAMPLE_UID	SAMPLE_NAME
ASI8FXqDnvXIl	ICSX 2010072:5
ASI8Ff1EEqGch	ICSX 2010075:2
ASI8Fn5MNjKBS	ICSX 2010077:2
ASI8Fhj5IatQy	ICSX 2010062:3
ASI8FmxF7GyeO	ICSR 93036:10
ASI8FdUZTJy8O	ICSX 2010066:5
ASI8FUpPsYD3h	ICSX 2010068:5
ASI8FFEPGxpfX	ICSX 2010072:6
ASI8FEgRDh6go	ICSX 2010075:3
ASI8FTq3zZokC	ICSX 2010077:3
ASI8FLu54LCXv	ICSX 2010062:4
ASI8FaC1foJOk	ICSR 93036:11
ASI8Fo9gFlEsV	ICSX 2010066:6
ASI8FDAbWLULZ	ICSX 2010068:6
ASI8FTg8v35dB	ICSX 2010071:1
ASI8FrchVSzJz	ICSX 2010073:1
ASI8FjqjjTE3j	ICSX 2010075:4
ASI8FZOtWIRyq	ICSX 2010077:4
ASI8FhXwNHXdg	ICSX 2010062:5
ASI8FUxQmeoYT	ICSX 2010065:1
ASI8FbYojaEIU	ICSX 2010067:1
ASI8FxIwdv8cE	ICSX 2010069:1
ASI8FZRSmI9zb	ICSX 2010071:2
ASI8FfwTYz59k	ICSV 12006:1
ASI8Fi390bM8Q	ICSX 2010075:5
ASI8Fng81msOA	ICSX 2010077:5
ASI8FWzdDQIwU	ICSX 2010062:6
ASI8FZKO3N8YU	ICSX 2010065:2
ASI8F0QKjKwuo	ICSX 2010067:2
ASI8FWPHRiRj1	ICSX 2010069:2
ASI8F016Mgye6	ICSX 2010071:3
ASI8FtZBwbh4a	ICSV 12006:2
ASI8FTjd5tYem	ICSX 2010075:6
ASI8FIVBag8zk	ICSX 2010077:6
ASI8F16xehzg5	ICSX 2010063:1
ASI8FzQMaciWc	ICSX 2010065:3
ASI8Fs6Ju8Beo	ICSX 2010067:3
ASI8FwkDY06cZ	ICSX 2010069:3
ASI8FQyRhpfPn	ICSX 2010071:4
ASI8FwYhs7IIr	ICSX 2010074:1
ASI8F9ZW673WO	ICSX 2010076:1
ASI8FGTsmAOuT	ICSX 2010078:1
ASI8F0kpiIINJ	ICSX 2010063:2
ASI8FRCeiQuK4	ICSX 2010065:4
ASI8FW1mi6Iim	ICSX 2010067:4
ASI8FhzEu2rm8	ICSX 2010069:4
ASI8FLMjU0Ufu	ICSX 2010071:5
ASI8Fjr86fOVI	ICSX 2010074:2
ASI8F3d9IMDAN	ICSX 2010076:2
ASI8FdU0VaYmJ	ICSX 2010064:1
ASI8FWBorXdcN	ICSX 2010065:5
ASI8Fl8wISFE8	ICSX 2010067:5
ASI8FX3ip4fUD	ICSX 2010069:5
ASI8FDY2pbC13	ICSX 2010071:6
ASI8FQzoXiGW5	ICSX 2010074:3
ASI8Fq6LjFxGv	ICSX 2010076:3
ASI8FaIMmxFp0	ICSX 2010078:2
ASI8FX0URasJR	ICSX 2010079:6
ASI8FLMUYj1WO	ICSX 2010081:6
ASI8FSbo4cYzC	ICSX 2010083:6
ASI8F3C0aNQIf	ICSX 2010085:4
ASI8FDlbQmt9h	ICSX 2010087:4
ASI8FYSAbaN4M	ICSX 2010089:2
ASI8F0GxarInN	ICSX 2010091:2
ASI8FK3S1XCXw	ICSX 2010078:3
ASI8FLk4OF8Y9	ICSX 2010080:1
ASI8FvheS9Dkf	ICSX 2010082:1
ASI8FovX0ibjx	IS 26012:8
ASI8FV7c39tM1	ICSX 2010085:5
ASI8FxpZuJMrf	ICSX 2010087:5
ASI8Fmo3eIZvf	ICSX 2010089:3
ASI8FQ5jEPkCy	ICSX 2010091:3
ASI8FoYolYeYA	ICSX 2010078:4
ASI8Fsg345nX0	ICSX 2010080:2
ASI8FgZLE7Edq	ICSX 2010082:2
ASI8F8k4FqmLD	IS 26012:9
ASI8Fx5uy1clb	ICSX 2010085:6
ASI8FmWXJPvVZ	ICSX 2010087:6
ASI8F9a4Z7UGl	ICSX 2010089:4
ASI8FmG8hGEol	ICSX 2010091:4
ASI8FqYYSrS3n	ICSX 2010078:5
ASI8FTxUHZyFP	ICSX 2010080:3
ASI8FGKEDwCKT	ICSX 2010082:3
ASI8FqvBd8dev	ICSX 2010084:1
ASI8F0tPLcCKz	ICSX 2010086:1
ASI8FvnXNGyLM	ICSX 2010088:1
ASI8FK5EQz8Ht	ICSX 2010089:5
ASI8FAmkjJaFC	ICSX 2010091:5
ASI8F0BaDBzCC	ICSX 2010078:6
ASI8Fa9bDpwtk	ICSX 2010080:4
ASI8FMXFNGciD	ICSX 2010082:4
ASI8FbbJpk7cL	ICSX 2010084:2
ASI8Fyg05a7qQ	ICSX 2010086:2
ASI8FadlubKE9	ICSX 2010088:2
ASI8FoOhZcvzI	ICSX 2010089:6
ASI8F9942kVPU	ICSX 2010091:6
ASI8Fqdy85ipN	IS 20956:9
ASI8Fvc72Cl6I	ICSX 2010080:5
ASI8FX65OB8Hp	ICSX 2010082:5
ASI8FvWzYqnuy	ICSX 2010084:3
ASI8FK2qtKwqs	ICSX 2010086:3
ASI8FWvQUpmBi	ICSX 2010088:3
ASI8FR8xCiqmT	ICSX 2010090:1
ASI8FEgCL0vgJ	ICSX 2010092:1
ASI8Fbk9bWXhn	IS 20956:10
ASI8FOUKL1hut	ICSX 2010080:6
ASI8FkJ1SLODW	ICSX 2010082:6
ASI8FCGcVcYWM	ICSX 2010084:4
ASI8FfpAZCXBI	ICSX 2010086:4
ASI8Fl9WUMuxs	ICSX 2010088:4
ASI8F1A02P2vZ	ICSX 2010090:2
ASI8FSnoLiRXg	ICSX 2010092:2
ASI8FPDhJeOCW	ICSX 2010079:1
ASI8FH89qQLGq	ICSX 2010081:1
ASI8FId8nyusg	ICSX 2010083:1
ASI8FwJAyLj0P	ICSX 2010084:5
ASI8FxDaHlt16	ICSX 2010086:5
ASI8FK5vx62ij	ICSX 2010088:5
ASI8FVL0YtEQH	ICSX 2010090:3
ASI8F7nZbBEcm	ICSX 2010092:3
ASI8FUOYAC04V	ICSX 2010079:2
ASI8Fib2qXYXv	ICSX 2010081:2
ASI8FJkGRtBXr	ICSX 2010083:2
ASI8Fi9akc6aB	ICSX 2010084:6
ASI8FkQ5G9nxi	ICSX 2010086:6
ASI8FhvBVecd1	ICSX 2010088:6
ASI8F5IeO6TRx	ICSX 2010090:4
ASI8FNsQU6CRz	ICSX 2010092:4
ASI8F7Y31Q51J	ICSX 2010079:3
ASI8Ft0ApfYZM	ICSX 2010081:3
ASI8FnZwk02kN	ICSX 2010083:3
ASI8FItN9JA60	ICSX 2010085:1
ASI8FOVFjJ2ZJ	ICSX 2010087:1
ASI8FPen5ySVc	IS 26694:8
ASI8FobAMgRG1	ICSX 2010090:5
ASI8FBfV8V04X	ICSX 2010092:5
ASI8FPoj5XoUF	ICSX 2010079:4
ASI8FPdDahiee	ICSX 2010081:4
ASI8FYElFHzda	ICSX 2010083:4
ASI8FjpPB05nH	ICSX 2010085:2
ASI8FY48OgOzH	ICSX 2010087:2
ASI8F8fdEQz06	IS 26694:9
ASI8FfdfiuFLO	ICSX 2010090:6
ASI8FCpcuChcM	ICSX 2010079:5
ASI8Fxkhfa8EL	ICSX 2010081:5
ASI8FFDx0vmZk	ICSX 2010083:5
ASI8FbFSzQA67	ICSX 2010085:3
ASI8FOulapdD5	ICSX 2010087:3
ASI8FJqthJElh	ICSX 2010089:1
ASI8FU200UMtB	ICSX 2010091:1
ASI8FSoSgE5i0	ICSX 2010092:6
ASI8Fv3dS8Ecg	ICSX 2010094:4
ASI8FtV4yZ1wi	ICSX 2010097:5
ASI8FYC4CzVTZ	ICSX 2010099:3
ASI8F8U2TLnNP	ICSX 2010102:3
ASI8Fh1ndFOmn	ICSX 2010104:1
ASI8FILyZHucD	ICSX 2010106:1
ASI8Fs4PHSqoY	ICSX 2010108:1
ASI8FovvLbZwU	ICSX 2010093:1
ASI8FIaNmhj7D	ICSX 2010094:5
ASI8FZLS4tLXb	ICSX 2010097:6
ASI8FcARYZfIn	ICSX 2010099:4
ASI8FNWMSvLZV	ICSX 2010102:4
ASI8Fh7A6G19J	ICSX 2010104:2
ASI8FdCNGGb48	ICSX 2010106:2
ASI8F0kSgkAws	ICSX 2010108:2
ASI8F6mzgLGdT	ICSX 2010093:2
ASI8FLUq63r0b	ICSX 2010095:1
ASI8Fz6GJEgf5	ICSX 2010098:1
ASI8Fb9Iic9UM	ICSX 2010100:1
ASI8FJWThtvvb	ICSX 2010102:5
ASI8FsBZMdLea	ICSX 2010104:3
ASI8FAo8xveJj	ICSX 2010106:3
ASI8FXwuIDXDZ	ICSX 2010108:3
ASI8FgS305Y2F	ICSX 2010093:3
ASI8F1eXA5qH9	ICSX 2010095:2
ASI8F7ZmG2lbI	ICSX 2010098:2
ASI8FcRnaQbCj	ICSX 2010100:2
ASI8Fj8sjgqm2	ICSX 2010102:6
ASI8FZhZxZ33n	ICSX 2010104:4
ASI8FGFAXO1AY	ICSX 2010106:4
ASI8Fpjwvnsfp	ICSX 2010108:4
ASI8Fk5EGWoYE	ICSX 2010093:4
ASI8F2eGMkCD9	ICSX 2010095:3
ASI8FuLCLoC23	ICSX 2010098:3
ASI8FG9Y8hZDG	ICSX 2010100:3
ASI8FYEt4VYBI	ICSX 2010103:1
ASI8Fxebcr8nv	ICSX 2010104:5
ASI8F1c9jMkbo	ICSX 2010106:5
ASI8FvElCvnwK	ICSX 2010108:5
ASI8FhyAVi6jh	ICSX 2010093:5
ASI8F97U325GH	ICSX 2010096:1
ASI8FkdpJz4KF	ICSX 2010098:4
ASI8Fr5rgRSIj	ICSX 2010100:4
ASI8FnZVak1Vw	ICSX 2010103:2
ASI8Fq1JLX1II	ICSX 2010104:6
ASI8FEpAUS1EX	ICSX 2010106:6
ASI8FePpgTSYJ	ICSX 2010108:6
ASI8FhDvcg7an	ICSX 2010093:6
ASI8FPjBx26il	ICSX 2010096:2
ASI8FN1XfGkVr	ICSX 2010098:5
ASI8FLCHdizKY	ICSX 2010100:5
ASI8Fe2e4gEO1	ICSX 2010103:3
ASI8FzvMq4nV5	ICSX 2010105:1
ASI8F3SIisbdz	ICSX 2010107:1
ASI8FgP88J604	SSV 74:9
ASI8FWqGAumVB	IS 34638:1
ASI8FQuyuyhG9	ICSX 2010096:3
ASI8FQSdN6BMC	ICSX 2010098:6
ASI8FRFNTzHw9	ICSX 2010100:6
ASI8FAWN11LcT	ICSX 2010103:4
ASI8FENIlTMlt	ICSX 2010105:2
ASI8FwLGenTFL	ICSX 2010107:2
ASI8FWaDQ5eur	SSV 74:10
ASI8FBysWuM0u	IS 34638:2
ASI8F8OUITUD1	ICSX 2010097:1
ASI8FTDaXYkua	Pant Chari-6:9
ASI8Fbr1ZZHmr	ICSX 2010101:1
ASI8FuxhJuLg9	ICSX 2010103:5
ASI8FtMWeobWR	ICSX 2010105:3
ASI8Fo9kAGR1n	ICSX 2010107:3
ASI8FS6cOY4vo	ICSX 2010109:1
ASI8FSG27psdS	ICSX 2010094:1
ASI8FzFasikn7	ICSX 2010097:2
ASI8F8f0QCwvY	Pant Chari-6:10
ASI8FjQuJxDPU	ICSX 2010101:2
ASI8FDyzsIc5F	ICSX 2010103:6
