SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B
ICMX 2010795:5	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
ICMX 2010795:6	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
ICMX 2010795:7	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
ICMX 2010795:8	ICMX 2010795	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102624
ICMX 2010796:8	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:9	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:10	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:11	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:12	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:1	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:2	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:3	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:4	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:5	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:6	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010796:7	ICMX 2010796	ICMR 17222	ICMR 102624
ICMX 2010797:1	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:2	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:3	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:4	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:5	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:6	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:7	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:8	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:9	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:10	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010797:11	ICMX 2010797	ICMR 13999	AIMP 92901
ICMX 2010798:5	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:6	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:7	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:8	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:9	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:10	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:11	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:12	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:1	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:2	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:3	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010798:4	ICMX 2010798	ICMR 19777	AIMP 92901
ICMX 2010799:1	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:2	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:3	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:4	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:5	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:6	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:7	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:8	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:9	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:10	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010799:11	ICMX 2010799	ICMB 101637	ICMB 101771
ICMX 2010800:12	ICMX 2010800	ICMB 101958	ICMB 101771
