SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISygTrgTie	ICMX 2010796	ICMX 2010796:12	ICMR 17222	ICMR 102624
8TNISdTyI7fi7	ICMX 2010796	ICMX 2010796:1	ICMR 17222	ICMR 102624
8TNIS3haZlU2P	ICMX 2010796	ICMX 2010796:2	ICMR 17222	ICMR 102624
8TNIS2HIHbrjt	ICMX 2010796	ICMX 2010796:3	ICMR 17222	ICMR 102624
8TNIS9sPfjMJ6	ICMX 2010796	ICMX 2010796:4	ICMR 17222	ICMR 102624
8TNISMYGeLnPH	ICMX 2010796	ICMX 2010796:5	ICMR 17222	ICMR 102624
8TNIS8sNNDyJb	ICMX 2010796	ICMX 2010796:6	ICMR 17222	ICMR 102624
8TNIS7VzIqU2D	ICMX 2010796	ICMX 2010796:7	ICMR 17222	ICMR 102624
8TNISvkeEwilJ	ICMX 2010797	ICMX 2010797:1	ICMR 13999	AIMP 92901
8TNIShyRsOkjs	ICMX 2010797	ICMX 2010797:2	ICMR 13999	AIMP 92901
8TNIS9DRgJrLY	ICMX 2010797	ICMX 2010797:3	ICMR 13999	AIMP 92901
8TNISpYkuOjOb	ICMX 2010797	ICMX 2010797:4	ICMR 13999	AIMP 92901
8TNISOyCTgia1	ICMX 2010797	ICMX 2010797:5	ICMR 13999	AIMP 92901
8TNISbBdQhOP2	ICMX 2010797	ICMX 2010797:6	ICMR 13999	AIMP 92901
8TNISYcD89Ks0	ICMX 2010797	ICMX 2010797:7	ICMR 13999	AIMP 92901
