DESIGNATION	SAMPLE_UID
ICMR 102436:3	ICMR 102436
ICMR 102436:4	ICMR 102436
ICMR 102436:5	ICMR 102436
ICMR 102436:6	ICMR 102436
ICMR 102441:1	ICMR 102441
ICMR 102441:2	ICMR 102441
ICMR 102441:3	ICMR 102441
ICMR 102441:4	ICMR 102441
ICMR 102441:5	ICMR 102441
ICMR 102441:6	ICMR 102441
ICMR 102003:1	ICMR 102003
ICMR 102003:2	ICMR 102003
ICMR 102003:3	ICMR 102003
ICMR 102003:4	ICMR 102003
ICMR 102003:5	ICMR 102003
ICMR 102003:6	ICMR 102003
ICMR 102386:1	ICMR 102386
ICMR 102386:2	ICMR 102386
ICMR 102386:3	ICMR 102386
ICMR 102386:4	ICMR 102386
ICMR 102386:5	ICMR 102386
ICMR 102386:6	ICMR 102386
ICMR 102339:1	ICMR 102339
ICMR 102339:2	ICMR 102339
ICMR 102339:3	ICMR 102339
ICMR 102339:4	ICMR 102339
ICMR 102339:5	ICMR 102339
ICMR 102339:6	ICMR 102339
ICMR 101788:1	ICMR 101788
ICMR 101788:2	ICMR 101788
ICMR 101788:3	ICMR 101788
ICMR 101788:4	ICMR 101788
ICMR 101788:5	ICMR 101788
ICMR 101788:6	ICMR 101788
ICMR 102454:1	ICMR 102454
ICMR 102454:2	ICMR 102454
ICMR 102454:3	ICMR 102454
ICMR 102454:4	ICMR 102454
ICMR 102454:5	ICMR 102454
ICMR 102454:6	ICMR 102454
